game,window,gap_s,prev_time,prev_price,prev_ticker,curr_time,curr_price,curr_ticker
2026-Playoffs-GSW-LAC,close_game(35-65c),37.9,2026-04-14 01:08:04.146183+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW,2026-04-14 01:08:42.040655+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW
2026-Playoffs-GSW-LAC,close_game(35-65c),37.9,2026-04-14 17:55:24.973506+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW,2026-04-14 17:56:02.864886+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW
2025-Christmas-MIN-DEN,close_game(35-65c),37.8,2025-12-24 21:18:45.154572+00:00,0.4300,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-24 21:19:22.949578+00:00,0.5700,KXNBAGAME-25DEC25MINDEN-DEN
2025-Christmas-MIN-DEN,close_game(35-65c),37.8,2025-12-24 21:08:50.452151+00:00,0.4300,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-24 21:09:28.233746+00:00,0.5700,KXNBAGAME-25DEC25MINDEN-DEN
2025-Finals-G7-OKC-IND,close_game(35-65c),37.8,2025-06-17 18:13:40.368509+00:00,0.3600,KXNBAGAME-25JUN19OKCIND-IND,2025-06-17 18:14:18.136214+00:00,0.6500,KXNBAGAME-25JUN19OKCIND-OKC
2026-Playoffs-GSW-LAC,close_game(35-65c),37.8,2026-04-15 02:56:52.128092+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW,2026-04-15 02:57:29.976012+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW
2026-Playoffs-GSW-LAC,close_game(35-65c),37.8,2026-04-14 00:35:41.104127+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW,2026-04-14 00:36:18.894465+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW
2025-Christmas-MIN-DEN,close_game(35-65c),37.8,2025-12-25 20:14:20.943924+00:00,0.4900,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-25 20:14:58.722573+00:00,0.5200,KXNBAGAME-25DEC25MINDEN-DEN
2025-Christmas-MIN-DEN,close_game(35-65c),37.8,2025-12-25 02:11:43.123937+00:00,0.5700,KXNBAGAME-25DEC25MINDEN-DEN,2025-12-25 02:12:20.929037+00:00,0.5700,KXNBAGAME-25DEC25MINDEN-DEN
2025-Christmas-MIN-DEN,close_game(35-65c),37.8,2025-12-24 22:53:18.564545+00:00,0.5700,KXNBAGAME-25DEC25MINDEN-DEN,2025-12-24 22:53:56.404134+00:00,0.5700,KXNBAGAME-25DEC25MINDEN-DEN
